EF_Scale,longitude,latitude,altitude
EF3,-86.42693,36.18469,4.999999999999999
EF3,-86.42849,36.18475,4.999999999999999
EF3,-86.42901000000001,36.18473,4.999999999999999
EF3,-86.43214,36.18672,4.999999999999999
EF3,-86.43298,36.18557,4.999999999999999
EF2,-86.43473,36.18587,4
EF3,-86.43474000000001,36.18694,4.999999999999999
EF2,-86.43545,36.18555,4
EF1,-86.43593,36.18404,3
EF3,-86.4366,36.18565,4.999999999999999
EF1,-86.43770000000001,36.18537,3
EF1,-86.43877999999999,36.18564,3
EF1,-86.43940000000001,36.18671,3
EF3,-86.44004,36.18555,4.999999999999999
EF3,-86.44005,36.18576,4.999999999999999
EF2,-86.45014000000001,36.18677,4
EF2,-86.45566,36.18673,4
EF2,-86.45804,36.18706,4
EF2,-86.46355,36.18512,4
EF1,-86.46406,36.18855,3
EF3,-86.46695,36.18427,4.999999999999999
EF2,-86.46849,36.18589,4
EF3,-86.47163999999999,36.18553,4.999999999999999
EF2,-86.47198,36.18392,4
EF2,-86.47313,36.18566,4
EF3,-86.47618,36.18341,4.999999999999999
EF3,-86.47666,36.18626,4.999999999999999
EF3,-86.47703,36.18413,4.999999999999999
EF2,-86.48012,36.18635,4
EF2,-86.48245,36.18463,4
EF2,-86.48269000000001,36.18553,4
EF1,-86.48322,36.18158,3
EF2,-86.48372999999999,36.18469,4
EF1,-86.48439000000001,36.18724,3
EF2,-86.48502000000001,36.18305,4
EF1,-86.48845,36.18134,3
EF2,-86.49383,36.18403,4
EF1,-86.50021,36.18762,3
EF2,-86.50183,36.18428,4
EF1,-86.50552,36.18738,3
EF1,-86.50617,36.18344,3
EF1,-86.50648,36.18086,3
EF1,-86.50858,36.18672,3
EF2,-86.50941,36.18143,4
EF2,-86.50959,36.18422,4
EF2,-86.51035,36.18394,4
EF1,-86.51157000000001,36.18684,3
EF1,-86.51168,36.18515,3
EF2,-86.51184000000001,36.18461,4
EF2,-86.5119,36.18426,4
EF2,-86.51203,36.18392,4
EF2,-86.51203,36.18357,4
EF2,-86.51293,36.1847,4
EF2,-86.51294,36.18402,4
EF2,-86.51298,36.18367,4
EF2,-86.51303,36.18327,4
EF2,-86.5136,36.18453,4
EF2,-86.51374,36.1848,4
EF1,-86.51376000000001,36.18626,3
EF1,-86.51378,36.18408,3
EF2,-86.51383,36.18377,4
EF2,-86.51387,36.18339,4
EF2,-86.51392,36.18303,4
EF1,-86.51461999999999,36.18636,3
EF1,-86.51503,36.18489,3
EF1,-86.51525,36.18563,3
EF1,-86.51542000000001,36.18479,3
EF3,-86.51622999999999,36.18349,4.999999999999999
EF3,-86.51628,36.18344,4.999999999999999
EF1,-86.5163,36.18402,3
EF3,-86.51651,36.18279,4.999999999999999
EF1,-86.5167,36.18094,3
EF1,-86.51685999999999,36.18565,3
EF1,-86.51691,36.18237,3
EF3,-86.51750456000001,36.18291441,4.999999999999999
EF3,-86.51757000000001,36.18282,4.999999999999999
EF2,-86.5176,36.18412,4
EF1,-86.51866,36.18437,3
EF1,-86.5188,36.18163,3
EF1,-86.51909000000001,36.18517,3
EF1,-86.51965,36.18414,3
EF2,-86.51996,36.18312,4
EF1,-86.52,36.18388,3
EF3,-86.52009,36.18183,4.999999999999999
EF1,-86.52034,36.1848,3
EF1,-86.52104,36.18543,3
EF3,-86.52112,36.18225,4.999999999999999
EF3,-86.52227000000001,36.18312,4.999999999999999
EF3,-86.52406000000001,36.18265,4.999999999999999
EF3,-86.52407,36.18274,4.999999999999999
EF2,-86.5241,36.18205,4
EF2,-86.52519,36.18183,4
EF3,-86.52529,36.1815,4.999999999999999
EF2,-86.52537,36.18117,4
EF2,-86.52552,36.18077,4
EF3,-86.52589999999999,36.18198,4.999999999999999
EF1,-86.526,36.18429,3
EF2,-86.526,36.18162,4
EF3,-86.52611,36.18129,4.999999999999999
EF3,-86.52669,36.18211,4.999999999999999
EF2,-86.52679000000001,36.18177,4
EF2,-86.52688000000001,36.18145,4
EF2,-86.52697000000001,36.1811,4
EF1,-86.52833,36.1791,3
EF1,-86.52878,36.18313,3
EF1,-86.53048,36.18004,3
EF2,-86.53063,36.18021,4
EF2,-86.53121,36.18067,4
EF1,-86.53147,36.18065,3
EF1,-86.53234999999999,36.17893,3
EF2,-86.53241,36.18008,4
EF2,-86.53274999999999,36.18064,4
EF2,-86.53322,36.18076,4
EF1,-86.53359,36.1821,3
EF1,-86.53425,36.18109,3
EF1,-86.53591,36.17991,3
EF1,-86.53675,36.18089,3
EF1,-86.53756,36.18074,3
EF2,-86.53762,36.17951,4
EF2,-86.53782,36.17966,4
EF2,-86.53803000000001,36.17973,4
EF1,-86.53834999999999,36.17934,3
EF1,-86.5385,36.18001,3
EF2,-86.53863,36.1778,4
EF1,-86.53865999999999,36.17894,3
EF2,-86.53870000000001,36.17799,4
EF2,-86.53925,36.17849,4
EF2,-86.5394,36.17863,4
EF1,-86.54007,36.17898,3
EF1,-86.54045000000001,36.17862,3
EF2,-86.54055,36.17755,4
EF1,-86.54162,36.1778,3
EF1,-86.54210999999999,36.17609,3
EF1,-86.54507,36.17755,3
EF1,-86.54608,36.17635,3
EF1,-86.55108,36.17687,3
EF1,-86.55271000000001,36.17685,3
EF2,-86.55355,36.1772,4
EF1,-86.55419999999999,36.17716,3
EF1,-86.55472,36.17758,3
EF1,-86.55486000000001,36.17718,3
EF2,-86.55547,36.17726,4
EF2,-86.55597,36.17736,4
EF1,-86.55785,36.17649,3
EF1,-86.55917,36.17682,3
EF1,-86.55972,36.17695,3
